No	Eng	Kor
656	Which topping do you like best on your frozen yogurt? 	 프로즌 요거트에 어떤 토핑을 얹는 걸 제일 좋아해?
657	Don't touch the iron because it's still extremely hot. 	 다리미가 아직 엄청 뜨거우니까 만지지 마.
658	Please remember to lock the front gate before coming inside the house. 	 집 안으로 들어오기 전에 대문을 잠그는 것을 꼭 기억해.
659	Always cover your nose and mouth with a tissue when you sneeze. 	 재채기를 할 때는 항상 휴지로 코와 입을 가려야 해.
660	Let's go outside and see if there are any fireflies tonight. 	 오늘 밤 반딧불이가 있는지 밖으로 나가보자.
661	It takes continuous dedication and focus to achieve your long-term goals. 	 장기적인 목표를 달성하려면 끊임없는 헌신과 집중이 필요해.
662	Could you help me look for my misplaced library card in the living room? 	 거실에서 잃어버린 도서관 대출증 찾는 것 좀 도와줄래?
663	I feel proud whenever I accomplish challenging goals through continuous hard work. 	 끊임없는 노력을 통해 어려운 목표를 달성할 때마다 큰 뿌듯함을 느껴.
664	Always wear a sturdy helmet to protect your head while riding a skateboard. 	 스케이트보드를 탈 때는 머리를 보호하기 위해 항상 튼튼한 헬멧을 써.
665	Can you describe what kind of gift you want for your upcoming birthday? 	 다가오는 생일에 어떤 선물을 받고 싶은지 말해줄 수 있어?
666	We should always show gratitude whenever someone offers us a helping hand. 	 누군가 우리에게 도움의 손길을 내밀 때마다 항상 고마움을 표현해야 해.
667	We should turn off the tap while lathering our hands with soap. 	 비누로 손에 거품을 내는 동안에는 수도꼭지를 잠가야 해.
668	Don't forget to take off your muddy shoes before entering the house. 	 집에 들어가기 전에 흙 묻은 신발 벗는 거 잊지 마.
669	Could you tell me where I can find the nearest pedestrian crossing? 	 가장 가까운 횡단보도가 어디에 있는지 알려주실 수 있나요?
670	I bought a portable umbrella because the weather forecast indicated possible showers. 	 일기예보에서 소나기 가능성을 알려주었기 때문에 휴대용 우산을 샀어.
671	Could you recommend a fascinating science fiction novel suitable for teenagers? 	 십 대가 읽기에 적합한 흥미진진한 공상과학 소설 한 권 추천해 줄래?
672	Always remember to unplug unused electrical appliances to prevent energy waste. 	 에너지 낭비를 막기 위해 사용하지 않는 가전제품의 플러그를 뽑는 것을 기억해.
673	Let's go to the neighborhood park and play catch with a frisbee. 	 동네 공원에 가서 원반던지기 놀이 하자.
674	Could you help me attach these festive balloons to the living room ceiling? 	 거실 천장에 이 축하 풍선들을 붙이는 것 좀 도와줄래?
675	Please keep your voice down inside the hospital lobby out of consideration for patients. 	 환자들을 배려하여 병원 로비 안에서는 목소리를 낮춰 줘.
676	I have an itch on my back that I can't quite reach. 	 등 쪽이 가려운데 손이 잘 안 닿아.
677	I'm going to boil some water in the kettle to make herbal tea. 	 허브티를 끓이려고 주전자에 물을 좀 올릴게.
678	Can you help me look for my misplaced library card in the living room? 	 거실에서 잃어버린 도서관 대출증 찾는 것 좀 도와줄래?
679	Can you teach me the rules of this new card game? 	 이 새로운 카드 게임 규칙 좀 알려줄 수 있어?
680	It is essential to wear a life jacket when riding a boat on the lake. 	 호수에서 보트를 탈 때는 구명조끼를 착용하는 것이 필수적이야.
681	Let's water the potted plants on the balcony before the morning sun gets too hot. 	 아침 햇살이 너무 뜨거워지기 전에 베란다 화분에 물을 주자.
682	Can you recommend a fun mobile game that we can play together? 	 우리 같이 할 만한 재미있는 모바일 게임 하나 추천해 줄래?
683	I accidentally spilled vegetable oil on the kitchen floor, so be careful. 	 부엌 바닥에 식용유를 실수로 쏟았으니 미끄러지지 않게 조심해.
684	Can you show me how to calculate the average score of these three quizzes? 	 이 세 번의 쪽지시험 평균 점수를 어떻게 계산하는지 보여줄 수 있어?
685	Always make sure to look both ways before stepping onto the road. 	 도로로 발을 내딛기 전에 항상 양쪽을 살피는 것을 잊지 마.
686	We learned that honey bees play a vital role in pollinating flowers and crops. 	 우리는 꿀벌이 꽃과 농작물의 수분에 중요한 역할을 한다는 것을 배웠어.
687	I always keep my pencil case organized with pens, erasers, and a ruler. 	 나는 항상 필통 안에 펜, 지우개, 자를 깔끔하게 정돈해 둬.
688	Let's meet at the entrance of the shopping mall around 3 PM. 	 오후 3시쯤 쇼핑몰 입구에서 만나자.
689	Can I have a glass of cold water with ice cubes, please? 	 얼음 띄운 시원한 물 한 잔만 주실 수 있나요?
690	I like to write down my weekly goals in a small pocket diary every Monday. 	 매주 월요일마다 작은 수첩에 한 주의 목표를 적어두는 것을 좋아해.
691	Celebrating small accomplishments every day keeps you motivated to learn. 	 매일 작은 성취를 축하하는 것은 계속 배울 수 있는 동기부여를 제공해.
692	Can you teach me how to tie a knot for this camping tent? 	 이 캠핑 텐트 매듭 묶는 법 좀 가르쳐줄 수 있어?
693	Let's check the weather forecast to see if we should carry umbrellas today. 	 오늘 우산을 챙겨야 할지 일기예보를 확인해 보자.
694	Could you explain how birds manage to fly long distances during migration? 	 철새들이 이동하는 동안 어떻게 먼 거리를 날아갈 수 있는지 설명해 줄 수 있어?
695	Don't touch the glass kettle when the water inside is boiling rapidly. 	 안의 물이 세차게 끓고 있을 때는 유리 주전자를 만지지 마.
696	I usually drink a glass of warm water right after waking up. 	 나는 보통 아침에 일어나자마자 따뜻한 물 한 잔을 마셔.
697	Could you show me how to organize these digital files into separate folders? 	 이 디지털 파일들을 각각의 폴더로 정리하는 법 좀 보여줄래?
698	Always show respect to fellow passengers when riding on crowded public transit. 	 혼잡한 대중교통을 이용할 때는 동승한 승객들을 항상 배려하고 존중해야 해.
699	Could you help me measure the height of this plant to see how much it grew? 	 이 식물이 얼마나 자랐는지 보게 키를 재는 것 좀 도와줄래?
700	We need to protect endangered animals from losing their natural habitats. 	 우리는 멸종 위기 동물들이 자연 서식지를 잃지 않도록 보호해야 해.
